"sql_query","pyspark_query"
"SELECT c.customer_id, c.customer_name, SUM(o.amount) AS total_spent FROM customers c JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.customer_name HAVING SUM(o.amount) > 1000 ORDER BY total_spent DESC;","df_customers.join(df_orders, df_customers.customer_id == df_orders.customer_id).groupBy('customer_id', 'customer_name').agg({'amount': 'sum'}).withColumnRenamed('sum(amount)', 'total_spent').filter(col('total_spent') > 1000).orderBy(col('total_spent').desc())"
"WITH ranked_sales AS (SELECT s.sales_id, s.sales_date, s.amount, ROW_NUMBER() OVER (PARTITION BY s.customer_id ORDER BY s.sales_date DESC) AS rn FROM sales s) SELECT * FROM ranked_sales WHERE rn = 1;","df_sales.withColumn('rn', row_number().over(Window.partitionBy('customer_id').orderBy(col('sales_date').desc()))).filter(col('rn') == 1)"
"SELECT e.employee_id, e.first_name, e.last_name, d.department_name FROM employees e LEFT JOIN departments d ON e.department_id = d.department_id WHERE e.salary > (SELECT AVG(salary) FROM employees);","df_employees.join(df_departments, df_employees.department_id == df_departments.department_id, 'left').filter(df_employees.salary > df_employees.agg({'salary': 'avg'}).first()[0])"
"SELECT p.product_id, p.product_name, COUNT(o.order_id) AS total_orders FROM products p JOIN order_items o ON p.product_id = o.product_id GROUP BY p.product_id, p.product_name HAVING COUNT(o.order_id) > 50;","df_products.join(df_order_items, df_products.product_id == df_order_items.product_id).groupBy('product_id', 'product_name').agg({'order_id': 'count'}).withColumnRenamed('count(order_id)', 'total_orders').filter(col('total_orders') > 50)"
"SELECT department_id, AVG(salary) AS avg_salary FROM employees GROUP BY department_id HAVING AVG(salary) > 70000;","df_employees.groupBy('department_id').agg({'salary': 'avg'}).withColumnRenamed('avg(salary)', 'avg_salary').filter(col('avg_salary') > 70000)"
"SELECT o.order_id, o.order_date, c.customer_name, SUM(oi.quantity * oi.unit_price) AS order_total FROM orders o JOIN order_items oi ON o.order_id = oi.order_id JOIN customers c ON o.customer_id = c.customer_id GROUP BY o.order_id, o.order_date, c.customer_name ORDER BY order_total DESC;","df_orders.join(df_order_items, df_orders.order_id == df_order_items.order_id).join(df_customers, df_orders.customer_id == df_customers.customer_id).groupBy('order_id', 'order_date', 'customer_name').agg({'quantity': 'sum', 'unit_price': 'sum'}).withColumn('order_total', col('sum(quantity)') * col('sum(unit_price)')).orderBy(col('order_total').desc())"
"WITH sales_totals AS (SELECT customer_id, SUM(amount) AS total_sales FROM sales GROUP BY customer_id) SELECT c.customer_name, st.total_sales FROM customers c JOIN sales_totals st ON c.customer_id = st.customer_id WHERE st.total_sales > 5000;","df_sales.groupBy('customer_id').agg({'amount': 'sum'}).withColumnRenamed('sum(amount)', 'total_sales').join(df_customers, df_sales.customer_id == df_customers.customer_id).filter(col('total_sales') > 5000)"
"SELECT e.department_id, MIN(e.salary) AS min_salary, MAX(e.salary) AS max_salary, AVG(e.salary) AS avg_salary FROM employees e GROUP BY e.department_id;","df_employees.groupBy('department_id').agg({'salary': 'min', 'salary': 'max', 'salary': 'avg'}).withColumnRenamed('min(salary)', 'min_salary').withColumnRenamed('max(salary)', 'max_salary').withColumnRenamed('avg(salary)', 'avg_salary')"
"SELECT p.product_id, p.product_name, SUM(oi.quantity) AS total_quantity FROM products p JOIN order_items oi ON p.product_id = oi.product_id JOIN orders o ON oi.order_id = o.order_id WHERE o.order_date BETWEEN '2024-01-01' AND '2024-12-31' GROUP BY p.product_id, p.product_name ORDER BY total_quantity DESC;","df_products.join(df_order_items, df_products.product_id == df_order_items.product_id).join(df_orders, df_order_items.order_id == df_orders.order_id).filter((col('order_date') >= '2024-01-01') & (col('order_date') <= '2024-12-31')).groupBy('product_id', 'product_name').agg({'quantity': 'sum'}).withColumnRenamed('sum(quantity)', 'total_quantity').orderBy(col('total_quantity').desc())"
"SELECT c.customer_id, c.customer_name FROM customers c WHERE NOT EXISTS (SELECT 1 FROM orders o WHERE o.customer_id = c.customer_id);","df_customers.join(df_orders, df_customers.customer_id == df_orders.customer_id, 'left_anti')"
